feature,importance
term,0.05680767984162027
fico_score,0.03407135395305801
annual_inc,0.026758129544390497
loan_amnt,0.01636446907395343
inq_last_6mths,0.014438734142007767
purpose,0.009575394465205092
open_acc,0.0028010483608740624
dti,0.0023777627179388436
revol_util,0.0022158824974896443
total_acc,0.0016328640682044722
home_ownership,0.0015237165458702833
revol_bal,0.0009595768139844344
emp_length,0.0006871505441059892
mort_acc,0.0005780398997681976
delinq_2yrs,8.843627218975876e-05
verification_status,-6.560595563524323e-05
pub_rec,-0.0007935719314737429
pub_rec_bankruptcies,-0.0012173880502036976
