risk_decile,loans,charged_off_loans,charge_off_rate,average_predicted_risk,share_of_all_charge_offs,cumulative_charge_off_capture
10,13481,4404,32.668199688450414,37.69300409615322,20.947488584474886,20.947488584474886
9,13480,3367,24.977744807121663,27.557403797290785,16.015030441400306,36.962519025875196
8,13480,2766,20.519287833827892,22.289841391696783,13.156392694063927,50.11891171993912
7,13481,2307,17.112973814998888,18.96842350671501,10.973173515981735,61.092085235920855
6,13480,2043,15.155786350148368,16.57861763388821,9.717465753424657,70.80955098934551
5,13480,1768,13.11572700296736,14.567077676607298,8.409436834094368,79.21898782343987
4,13481,1514,11.230620873822417,12.699111064379146,7.201293759512938,86.42028158295281
3,13480,1222,9.065281899109792,10.778046336751318,5.812404870624048,92.23268645357686
2,13480,989,7.33679525222552,8.546356454707603,4.704147640791477,96.93683409436834
1,13481,644,4.777093687411913,4.966872140822252,3.063165905631659,100.0
